Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros)
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,"14.0""",1366x768,AMD E-Series E2-6110 1.5GHz,2GB,32GB Flash Storage,AMD Radeon R2,Windows,10,1.65kg,"199,00"
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,"17.3""",Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,AMD Radeon 530,Windows,10,2.71kg,"439,00"
Dell,XPS 13,Ultrabook,"13.3""",Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.2kg,"1869,00"
Apple,MacBook Air,Ultrabook,"13.3""",1440x900,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,Mac OS,X,1.35kg,"998,00"
Lenovo,IdeaPad 120S-14IAP,Notebook,"14.0""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows,10,1.44kg,"249,00"
Acer,Aspire 3,Notebook,"15.6""",1366x768,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,,2.1kg,"367,00"
Dell,Inspiron 5770,Notebook,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.8kg,"979,00"
HP,250 G6,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,1.86kg,"488,69"
HP,ProBook 450,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 930MX ,Windows,10,2.1kg,"879,00"
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,,2kg,"389,00"
Dell,Inspiron 7577,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.65kg,"1499,00"
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,,2.3kg,"522,99"
Acer,Aspire A515-51G,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Intel UHD Graphics 620,Windows,10,2.2kg,"682,00"
Dell,Inspiron 7773,2 in 1 Convertible,"17.3""",Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Nvidia GeForce 150MX,Windows,10,2.77kg,"999,00"
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8GB,256GB SSD,Intel Iris Graphics 540,macOS,,1.37kg,"1419,00"
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,No OS,,2.2kg,"369,00"
Asus,Rog Strix,Gaming,"17.3""",Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.2kg,"1299,00"
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows,10,2.3kg,"639,00"
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,"17.3""",1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.8kg,"466,00"
Lenovo,Yoga Book,2 in 1 Convertible,"10.1""",IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics 400,Android,,0.69kg,"319,00"
Acer,Aspire A515-51G,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce MX150,Windows,10,2.2kg,"841,00"
HP,255 G6,Notebook,"15.6""",Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows,10,1.86kg,"398,49"
HP,ProBook 430,Notebook,"13.3""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.49kg,"1103,00"
Acer,Aspire 3,Notebook,"15.6""",1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.4kg,"384,00"
Dell,Inspiron 3576,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 520,Windows,10,2.13kg,"767,80"
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.91kg,"439,00"
Asus,VivoBook Max,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,2kg,"586,19"
MSI,GS73VR 7RG,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.43kg,"2449,00"
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Intel HD Graphics 520,Linux,,2kg,"415,00"
Dell,Inspiron 5770,Notebook,"17.3""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.8kg,"1299,00"
Dell,Vostro 5471,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.7kg,"879,00"
Lenovo,IdeaPad 520S-14IKB,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,,1.7kg,"599,00"
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.4kg,"941,00"
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.86kg,"690,00"
Asus,ZenBook Pro,Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,10,1.8kg,"1983,00"
